resized_crop_source,model_source,truncated,occluded,slightly_occluded,image_path,cat_id,example_id,model_name,azimuth,elevation,inplane_rotation
internet,ikea,False,False,False,resized_crop/desk/0002.png,desk,IKEA_BESTA_1,model,330.80986376757517,11.553862335425489,-0.01608890790019301
internet,ikea,False,False,False,resized_crop/desk/0003.png,desk,IKEA_BESTA_1,model,331.78232332241123,10.636708623363413,-0.018362061411653828
internet,ikea,False,False,False,resized_crop/desk/0018.png,desk,IKEA_BESTA_2,model,58.72034206625136,18.507605756747274,0.03879617151051275
internet,ikea,False,False,False,resized_crop/desk/0025.png,desk,IKEA_BESTA_2,model,330.41162493519886,9.341122081849687,-0.015200817529137059
internet,ikea,False,False,False,resized_crop/desk/0027.png,desk,IKEA_BESTA_2,model,355.8850323305716,27.614410599663486,0.020647447513106248
internet,ikea,False,False,False,resized_crop/desk/0030.png,desk,IKEA_BESTA_2,model,46.86539305136213,15.780532709422113,-0.017429955224901376
internet,ikea,False,False,False,resized_crop/desk/0036.png,desk,IKEA_BESTA_2,model,16.513216229192146,32.380713096595585,0.16757470036493546
internet,ikea,False,False,False,resized_crop/desk/0038.png,desk,IKEA_BESTA_2,model,56.600926713472965,15.23845293831269,-0.06521498780339904
internet,ikea,False,False,False,resized_crop/desk/0039.png,desk,IKEA_BESTA_2,model,8.860258293306401,28.937398024490925,0.02554820704632492
internet,ikea,False,False,False,resized_crop/desk/0042.png,desk,IKEA_BESTA_2,model,69.85758578447702,31.673145142097002,-0.14679838060723047
internet,ikea,False,False,False,resized_crop/desk/0047.png,desk,IKEA_BESTA_2,model,0.5120434038713476,25.77209089519578,0.09232574413028
internet,ikea,False,False,False,resized_crop/desk/0050.png,desk,IKEA_BESTA_2,model,336.35857340914805,31.62183728026439,0.07609674861899203
internet,ikea,False,False,False,resized_crop/desk/0051.png,desk,IKEA_BESTA_2,model,359.17514991791285,26.388444634225923,-0.03760552726399738
internet,ikea,False,False,False,resized_crop/desk/0064.png,desk,IKEA_BESTA_2,model,327.3491487023664,23.457115590588533,-0.09463810708532806
internet,ikea,False,False,False,resized_crop/desk/0070.png,desk,IKEA_BESTA_2,model,54.13687638706389,26.395485107226648,-0.15199648851611314
internet,ikea,False,False,False,resized_crop/desk/0073.png,desk,IKEA_BESTA_2,model,44.73113436377111,30.57053094819104,0.2387202656311108
internet,ikea,False,False,False,resized_crop/desk/0076.png,desk,IKEA_BESTA_2,model,325.8099371500224,26.322962157767023,-0.0692485043313221
internet,ikea,False,False,False,resized_crop/desk/0077.png,desk,IKEA_BESTA_2,model,66.42196807338902,17.410051710735782,-0.1024150153453871
internet,ikea,False,False,False,resized_crop/desk/0084.png,desk,IKEA_BESTA_2,model,21.808753933717828,24.33355218300825,0.03361164627599129
internet,ikea,False,False,False,resized_crop/desk/0099.png,desk,IKEA_EXPEDIT_1,model,243.54239002379956,7.1523247300661925,-0.021424725568092124
internet,ikea,False,False,False,resized_crop/desk/0106.png,desk,IKEA_EXPEDIT_1,model,234.44910359827682,7.863948338198232,-0.06005389500173108
